Robocup\19_Australian_yes_33bb0a966c8dbec089efd9324de3750251c9c560cc039_27_t_step2_audio4.wav,search for towel,"SEARCHING(theme:""for towel"")"
Robocup\19_Australian_yes_33bb0a966c8dbec089efd9324de3750251c9c560cc039_39_t_step2_audio3.wav,please move to the front of the fridge,"MOTION(goal:""to the front of the fridge"")"
Robocup\19_British_yes_77a5a520a7299821aa25b9c071d53d4c51d6e8f851754_112_t_step2_audio4.wav,go to the dining room,"MOTION(goal:""to the dining room"")"
Robocup\19_British_yes_77a5a520a7299821aa25b9c071d53d4c51d6e8f851754_step1_audio1.wav,please go to the sink,"MOTION(goal:""to the sink"")"
Robocup\19_British_yes_77a5a520a7299821aa25b9c071d53d4c51d6e8f851754_step1_audio4.wav,please find the fruit,"SEARCHING(theme:""the fruit"")"
Robocup\20_Netherlands_no_39496ce640091fe3eac2a661d11ff02351c95659678df_13_t_step2_audio3.wav,please find the lamp,"SEARCHING(theme:""the lamp"")"
Robocup\20_USA_yes_234a4a464281bf32127d03c3ec1f28c451cb2a417a200_step1_audio1.wav,go to the dining room,"MOTION(goal:""to the dining room"")"
Robocup\21_Australian_yes_46e69d8d080f80f7beedc314251bdd6751c9c76cdc0fd_step1_audio1.wav,go to the fridge inside the kitchen,"MOTION(goal:""to the fridge inside the kitchen"")"
Robocup\21_Australian_yes_e647a71b6fe9ca1355873b5600a7460651c9ca4fc2143_step1_audio1.wav,go to the bathroom,"MOTION(goal:""to the bathroom"")"
Robocup\22_United States of America_yes_f43cee248adf87a644db0fcebecf47fb51cb05369714c_79_g_step2_audio1.wav,please move to the fridge,"MOTION(goal:""to the fridge"")"
Robocup\22_United States of America_yes_f43cee248adf87a644db0fcebecf47fb51cb05369714c_step1_audio1.wav,go to the bedroom,"MOTION(goal:""to the bedroom"")"
Robocup\22_United States of America_yes_f43cee248adf87a644db0fcebecf47fb51cb05369714c_step1_audio4.wav,find a plate,"SEARCHING(theme:""a plate"")"
Robocup\23_Dutch_no_fbb8b24bbcbb7b75c30e6fbf9100587b51c99bd6354f1_52_t_step2_audio3.wav,move to the lamp on the right side of the bed,"MOTION(goal:""to the lamp on the right side of the bed"")"
Robocup\23_Dutch_no_fbb8b24bbcbb7b75c30e6fbf9100587b51c99bd6354f1_step1_audio1.wav,please go to the mirror,"MOTION(goal:""to the mirror"")"
Robocup\23_German_no_1765325c043ab4fc4821285db0af7a2e51c95c59dc8f4_23_t_step2_audio4.wav,drive to the fridge,"MOTION(goal:""to the fridge"")"
Robocup\23_German_no_1765325c043ab4fc4821285db0af7a2e51c95c59dc8f4_7_t_step2_audio3.wav,search for the coffee cups,"SEARCHING(theme:""for the coffee cups"")"
Robocup\23_German_no_1765325c043ab4fc4821285db0af7a2e51c95c59dc8f4_step1_audio1.wav,drive to kitchen,"MOTION(goal:""to kitchen"")"
Robocup\23_German_no_1765325c043ab4fc4821285db0af7a2e51c95c59dc8f4_step1_audio4.wav,search for towel,"SEARCHING(theme:""for towel"")"
Robocup\23_German_no_863f47e880673cce47bf5bb5f6a896c651c959cf7eb0d_step1_audio1.wav,drive to the fridge,"MOTION(goal:""to the fridge"")"
Robocup\23_German_no_863f47e880673cce47bf5bb5f6a896c651c959cf7eb0d_step1_audio4.wav,search for the lamp,"SEARCHING(theme:""for the lamp"")"
Robocup\23_German_no_a4a1827aa8e7a9bc3af70c8c4ac5710951c9a22ab68e6_step1_audio4.wav,please find the flowers,"SEARCHING(theme:""the flowers"")"
Robocup\23_Indian_no_f889c4f44c3a41e55f2f2603b183e84251cb415fc1a0d_step1_audio1.wav,please move to the far end of this table,"MOTION(goal:""to the far end of this table"")"
Robocup\23_Indian_no_f889c4f44c3a41e55f2f2603b183e84251cb415fc1a0d_step1_audio4.wav,find the red pillow,"SEARCHING(theme:""the red pillow"")"
Robocup\24_China_no_92bdd52397f9d1d130ec98eab371dcbe51c9658b05494_29_t_step2_audio4.wav,drive to kitchen,"MOTION(goal:""to kitchen"")"
Robocup\24_China_no_92bdd52397f9d1d130ec98eab371dcbe51c9658b05494_step1_audio1.wav,please move to the front of the fridge,"MOTION(goal:""to the front of the fridge"")"
Robocup\24_Dutch_no_b83c30c1c71c08a70e76ad18d66aab1951c99eb935ddb_50_t_step2_audio3.wav,go to the sofa and search for the pillow,"MOTION(goal:""to the sofa"")#SEARCHING(theme:""for the pillow"")"
Robocup\24_Dutch_no_b83c30c1c71c08a70e76ad18d66aab1951c99eb935ddb_step1_audio1.wav,please go to the table,"MOTION(goal:""to the table"")"
Robocup\24_Spanish_no_4d8629e2e1743efdac69197497bf403651c9693c71c8d_24_t_step2_audio4.wav,search for the lamp,"SEARCHING(theme:""for the lamp"")"
Robocup\24_Spanish_no_4d8629e2e1743efdac69197497bf403651c9693c71c8d_7_g_step2_audio1.wav,go to the bathroom take the rag go to the hall and clean the mirror,"MOTION(goal:""to the bathroom"")#TAKING(theme:""the rag"")#MOTION(goal:""to the hall"")"
Robocup\25_Dutch_no_143875e5a8115f54de0a127ce2e7953b51c94c8629fed_4_t_step2_audio4.wav,move near the television of the kitchen,"MOTION(goal:""near the television of the kitchen"")"
Robocup\25_Dutch_no_143875e5a8115f54de0a127ce2e7953b51c94c8629fed_7_g_step2_audio2.wav,go to the bathroom take the rag go to the hall and clean the mirror,"MOTION(goal:""to the bathroom"")#TAKING(theme:""the rag"")#MOTION(goal:""to the hall"")"
Robocup\25_Dutch_no_143875e5a8115f54de0a127ce2e7953b51c94c8629fed_9_t_step2_audio3.wav,go to the kitchen,"MOTION(goal:""to the kitchen"")"
Robocup\25_Dutch_no_143875e5a8115f54de0a127ce2e7953b51c94c8629fed_step1_audio4.wav,search for the coffee cups,"SEARCHING(theme:""for the coffee cups"")"
Robocup\25_Netherlands_no_bd624196ac97032682bd7590fe29def251c952cc28e60_step1_audio4.wav,please find the lamp,"SEARCHING(theme:""the lamp"")"
Robocup\26_Chile_no_3607f3fac57892c01dd68bdb2be6fcc651c9a4d6222d8_step1_audio1.wav,go to the bathroom,"MOTION(goal:""to the bathroom"")"
Robocup\28_Indonesia_no_86e52a12ed9bdf35cdf7bc6d9ce45dfc51c9629fbb3bb_7_g_step2_audio1.wav,go to the bathroom take the rag go to the hall and clean the mirror,"MOTION(goal:""to the bathroom"")#TAKING(theme:""the rag"")#MOTION(goal:""to the hall"")"
Robocup\28_Indonesia_no_86e52a12ed9bdf35cdf7bc6d9ce45dfc51c9629fbb3bb_step1_audio1.wav,go to the bathroom,"MOTION(goal:""to the bathroom"")"
Robocup\28_Italian_no_0af191952617d3ac9e56641120871b2951d6cc30e7cd6_107_g_step2_audio2.wav,go to the kitchen,"MOTION(goal:""to the kitchen"")"
Robocup\28_Italian_no_0af191952617d3ac9e56641120871b2951d6cc30e7cd6_24_t_step2_audio3.wav,search for the lamp,"SEARCHING(theme:""for the lamp"")"
Robocup\28_Italian_no_0af191952617d3ac9e56641120871b2951d6cc30e7cd6_47_g_step2_audio1.wav,move to the living room,"MOTION(goal:""to the living room"")"
Robocup\28_Italian_no_0af191952617d3ac9e56641120871b2951d6cc30e7cd6_step1_audio1.wav,move to the left of the table,"MOTION(goal:""to the left of the table"")"
Robocup\29_Italian_no_d9b5117b84b78071fdea7d145250fad551d6cfcebe917_step1_audio1.wav,go close to the shower,"MOTION(goal:""close to the shower"")"
Robocup\31_Chile_no_2aebd1501249d2c610043840f7a9702251c9a80f5885e_step1_audio1.wav,please move to the fridge,"MOTION(goal:""to the fridge"")"
Robocup\31_Mexican_no_b3e130c8ea24a39ab224a2dcaccc117951c995bd1d780_1_g_step2_audio2.wav,grab the box on the left of the desktop,"TAKING(theme:""the box on the left of the desktop"")"
Robocup\31_Mexican_no_b3e130c8ea24a39ab224a2dcaccc117951c995bd1d780_step1_audio1.wav,move to the lamp on the right side of the bed,"MOTION(goal:""to the lamp on the right side of the bed"")"
Robocup\31_Mexican_no_b3e130c8ea24a39ab224a2dcaccc117951c995bd1d780_step1_audio4.wav,go to the sofa and search for the pillow,"MOTION(goal:""to the sofa"")#SEARCHING(theme:""for the pillow"")"
Robocup\31_Spanish_no_8fe72d851c4deda661051ae47b93c4c251d6e004d3091_step1_audio1.wav,please go to the chair,"MOTION(goal:""to the chair"")"
Robocup\32_German_no_ac47bd8bbd7e3d38f209b03a0ba74a6951c9705c9c48b_step1_audio1.wav,move to the living room,"MOTION(goal:""to the living room"")"
Robocup\35_brazilian_no_9cfc720e1ef717695363c84daf79016751d6e29e95566_56_t_step2_audio3.wav,please go to the mirror,"MOTION(goal:""to the mirror"")"
Robocup\35_brazilian_no_9cfc720e1ef717695363c84daf79016751d6e29e95566_80_t_step2_audio4.wav,go to the dining table,"MOTION(goal:""to the dining table"")"
Robocup\35_brazilian_no_9cfc720e1ef717695363c84daf79016751d6e29e95566_step1_audio1.wav,robot go to the shower,"MOTION(goal:""to the shower"")"
Robocup\35_Japan_no_73868ac3e3f00891e64225b06e8776fc51c9ac260f755_step1_audio1.wav,go to the dining table,"MOTION(goal:""to the dining table"")"
Robocup\36_Italian_no_4345a00b8bf46846088f73380b986b7851d6a997a4854_47_t_step2_audio4.wav,move to the living room,"MOTION(goal:""to the living room"")"
Robocup\36_Italian_no_4345a00b8bf46846088f73380b986b7851d6a997a4854_56_g_step2_audio1.wav,please go to the mirror,"MOTION(goal:""to the mirror"")"
Robocup\50_usa_yes_7e7e4c67d245b3b7d10d9fb0cbf5e01651cb0a9907f97_93_g_step2_audio1.wav,go to the bathroom,"MOTION(goal:""to the bathroom"")"
Robocup\50_usa_yes_7e7e4c67d245b3b7d10d9fb0cbf5e01651cb0a9907f97_step1_audio1.wav,go to the kitchen,"MOTION(goal:""to the kitchen"")"
Robocup\50_usa_yes_7e7e4c67d245b3b7d10d9fb0cbf5e01651cb0a9907f97_step1_audio4.wav,find the refrigerator,"SEARCHING(theme:""the refrigerator"")"
Rockin1\file1.wav,go to the lounge,"MOTION(goal:""to the lounge"")"
Rockin1\file2.wav,move to the dining room,"MOTION(goal:""to the dining room"")"
Rockin1\file3.wav,take the cereal box,"TAKING(theme:""the cereal box"")"
Rockin1\file4.wav,grab the key lanyard,"TAKING(theme:""the key lanyard"")"
Rockin1\file6.wav,find the keys,"SEARCHING(theme:""the keys"")"
Rockin1\file7.wav,search for a blue plate,"SEARCHING(theme:""for a blue plate"")"
Rockin1\file8.wav,drop the vase,"PLACING(theme:""the vase"")"
Rockin1\file9.wav,release the bag,"PLACING(theme:""the bag"")"
Rockin1\file10.wav,go next to the tv set,"MOTION(goal:""next to the tv set"")"
Rockin1\file11.wav,go to the right of the sofa,"MOTION(goal:""to the right of the sofa"")"
Rockin1\file12.wav,look for my mobile phone,"SEARCHING(theme:""for my mobile phone"")"
Rockin1\file13.wav,take the apple jam jar,"TAKING(theme:""the apple jam jar"")"
Rockin1\file15.wav,take the knife with the black handle,"TAKING(theme:""the knife with the black handle"")"
Rockin1\file17.wav,please find the sunglasses,"SEARCHING(theme:""the sunglasses"")"
Rockin1\file22.wav,robot please search for the horn glasses,"SEARCHING(theme:""for the horn glasses"")"
Rockin1\file27.wav,search for the scissors they should be in the blue drawer,"SEARCHING(theme:""for the scissors"")"
Rockin1\file31.wav,move to the bedroom,"MOTION(goal:""to the bedroom"")"
Rockin1\file32.wav,move to the dining room,"MOTION(goal:""to the dining room"")"
Rockin1\file33.wav,take a coffee mug,"TAKING(theme:""a coffee mug"")"
Rockin1\file35.wav,let go of the pack of beer,"PLACING(theme:""the pack of beer"")"
Rockin1\file36.wav,find the keys,"SEARCHING(theme:""the keys"")"
Rockin1\file37.wav,find a bottle of water,"SEARCHING(theme:""a bottle of water"")"
Rockin1\file39.wav,go close to the window,"MOTION(goal:""close to the window"")"
Rockin1\file40.wav,go next to the tv set,"MOTION(goal:""next to the tv set"")"
Rockin1\file43.wav,grab the book with the blue cover,"TAKING(theme:""the book with the blue cover"")"
Rockin1\file52.wav,robot please search for the horn glasses,"SEARCHING(theme:""for the horn glasses"")"
Rockin1\file61.wav,go to the lounge,"MOTION(goal:""to the lounge"")"
Rockin1\file62.wav,move along the wall,"MOTION(path:""along the wall"")"
Rockin1\file63.wav,take the glass jar,"TAKING(theme:""the glass jar"")"
Rockin1\file64.wav,find my tablet,"SEARCHING(theme:""my tablet"")"
Rockin1\file66.wav,go near the window,"MOTION(goal:""near the window"")"
Rockin1\file67.wav,take the salt box,"TAKING(theme:""the salt box"")"
Rockin1\file68.wav,grab this mug,"TAKING(theme:""this mug"")"
Rockin1\file69.wav,release the bag,"PLACING(theme:""the bag"")"
Rockin1\file71.wav,find a magazine,"SEARCHING(theme:""a magazine"")"
Rockin1\file72.wav,please move along the fences,"MOTION(path:""along the fences"")"
Rockin1\file73.wav,take the apple jam jar,"TAKING(theme:""the apple jam jar"")"
Rockin1\file74.wav,please find the toilet paper,"SEARCHING(theme:""the toilet paper"")"
Rockin1\file77.wav,please find the sunglasses,"SEARCHING(theme:""the sunglasses"")"
Rockin1\file78.wav,robot can you find a pack of napkins,"SEARCHING(theme:""a pack of napkins"")"
Rockin1\file82.wav,can you move a little bit to the right,"MOTION(goal:""a little bit on the right"")"
Rockin1\file86.wav,robot why don't you go around and search for my hat,"MOTION(path:""around"")#SEARCHING(theme:""for my hat"")"
Rockin1\file87.wav,search for the scissors they should be in the blue drawer,"SEARCHING(theme:""for the scissors"")"
Rockin1\file88.wav,robot listen go into the bedroom and find the black pen it should be on the nightstand,"MOTION(goal:""into the bedroom"")#SEARCHING(theme:""the black pen"")"
Rockin1\file89.wav,i lost my ring in the living room can you search for it maybe it's near the sofa,"SEARCHING(theme:""for it"")"
Rockin1\file91.wav,move to bedroom,"MOTION(goal:""to bedroom"")"
Rockin1\file92.wav,go to the dining room,"MOTION(goal:""to the dining room"")"
Rockin1\file93.wav,take the glass jar,"TAKING(theme:""the glass jar"")"
Rockin1\file95.wav,find the wallet,"SEARCHING(theme:""the wallet"")"
Rockin1\file97.wav,take the salt box,"TAKING(theme:""the salt box"")"
Rockin1\file99.wav,grab the cake plate,"TAKING(theme:""the cake plate"")"
Rockin1\file100.wav,go to the coffee machine,"MOTION(goal:""to the coffee machine"")"
Rockin1\file101.wav,find a magazine,"SEARCHING(theme:""a magazine"")"
Rockin1\file103.wav,go in front of the poster,"MOTION(goal:""in front of the poster"")"
Rockin1\file108.wav,go in the dining room and remove the tablecloth,"MOTION(goal:""in the dining room"")"
Rockin1\file117.wav,do you think you can find my wallet,"SEARCHING(theme:""my wallet"")"
Rockin1\file119.wav,i lost my ring in the living room can you search for it maybe it's near the sofa,"SEARCHING(theme:""for it"")"
Rockin1\file121.wav,move to the bedroom,"MOTION(goal:""to the bedroom"")"
Rockin1\file122.wav,take my wristwatch,"TAKING(theme:""my wristwatch"")"
Rockin1\file124.wav,find my tablet,"SEARCHING(theme:""my tablet"")"
Rockin1\file125.wav,let go of the pack of beer,"PLACING(theme:""the pack of beer"")"
Rockin1\file126.wav,go to the garden,"MOTION(goal:""to the garden"")"
Rockin1\file127.wav,go next to the door,"MOTION(goal:""next to the door"")"
Rockin1\file128.wav,grab this mug,"TAKING(theme:""this mug"")"
Rockin1\file129.wav,go close to the window,"MOTION(goal:""close to the window"")"
Rockin1\file132.wav,please move along the fences,"MOTION(path:""along the fences"")"
Rockin1\file133.wav,grab the book with the blue cover,"TAKING(theme:""the book with the blue cover"")"
Rockin1\file135.wav,robot could you move near the table,"MOTION(goal:""near the table"")"
Rockin1\file139.wav,carefully search for my wallet please,"SEARCHING(theme:""for my wallet"")"
Rockin1\file143.wav,go in the bathroom and find the newspaper,"MOTION(goal:""in the bathroom"")#SEARCHING(theme:""the newspaper"")"
Rockin1\file146.wav,robot why don't you go around and search for my hat,"MOTION(path:""around"")#SEARCHING(theme:""for my hat"")"
Rockin1\file148.wav,robot i need you in the bathroom go there please,"MOTION(goal:""there"")"
Rockin1\file149.wav,go in the kitchen and switch off the coffee machine and the dishwasher,"MOTION(goal:""in the kitchen"")"
Rockin1\file151.wav,go near the lamp,"MOTION(goal:""near the lamp"")"
Rockin1\file152.wav,move along the wall,"MOTION(path:""along the wall"")"
Rockin1\file153.wav,take a coffee mug,"TAKING(theme:""a coffee mug"")"
Rockin1\file155.wav,release the pot,"PLACING(theme:""the pot"")"
Rockin1\file156.wav,go near the window,"MOTION(goal:""near the window"")"
Rockin1\file157.wav,find a bottle of water,"SEARCHING(theme:""a bottle of water"")"
Rockin1\file162.wav,move away from the oven,"MOTION(goal:""away from the oven"")"
Rockin1\file164.wav,please find the toilet paper,"SEARCHING(theme:""the toilet paper"")"
Rockin1\file168.wav,robot can you find a pack of napkins,"SEARCHING(theme:""a pack of napkins"")"
Rockin1\file172.wav,can you move a little bit to the right,"MOTION(goal:""a little bit on the right"")"
Rockin1\file176.wav,i need my watch find it please,"SEARCHING(theme:""it"")"
Rockin1\file178.wav,robot listen go into the bedroom and find the black pen it should be on the nightstand,"MOTION(goal:""into the bedroom"")#SEARCHING(theme:""the black pen"")"
Rockin1\file180.wav,sorry robot can you go to the kitchen and turn on the coffee machine,"MOTION(goal:""to the kitchen"")"
Rockin2\speech6857576131066848554.wav,please pick up the phone,"TAKING(theme:""the phone"")"
Rockin2\speech7106063757464601171.wav,find the towel,"SEARCHING(theme:""the towel"")"
Rockin2\speech2536211817953531488.wav,look for the towel,"SEARCHING(theme:""for the towel"")"
Rockin2\speech5786176783040341942.wav,go to the laundry room,"MOTION(goal:""to the laundry room"")"
Rockin2\speech873909522689234449.wav,go straight to the living room,"MOTION(goal:""straight to the living room"")"
Rockin2\speech4519345141694864796.wav,find the bottle of water and water the plant,"SEARCHING(theme:""the bottle of water"")"
Rockin2\speech5514722351757797475.wav,look for the towel,"SEARCHING(theme:""for the towel"")"
Rockin2\speech3029078072250370362.wav,go to the laundry room,"MOTION(goal:""to the laundry room"")"
Rockin2014_Toulouse\round1_bitbots_fb_mic_phase_speech_audio_1.wav,search for my tablet,"SEARCHING(theme:""for my tablet"")"
Rockin2014_Toulouse\round1_bitbots_fb_mic_phase_speech_audio_3.wav,find the phone,"SEARCHING(theme:""the phone"")"
Rockin2014_Toulouse\round1_bitbots_fb_mic_phase_speech_audio_4.wav,move to the bathroom,"MOTION(goal:""the bathroom"")"
Rockin2014_Toulouse\round1_bitbots_fb_mic_phase_speech_audio_6.wav,drop the pillow,"PLACING(theme:""the pillow"")"
Rockin2014_Toulouse\round1_Pumas_fb_mic_phase_speech_audio_1.wav,search for my tablet,"SEARCHING(theme:""for my tablet"")"
Rockin2014_Toulouse\round1_Pumas_fb_mic_phase_speech_audio_3.wav,find the phone,"SEARCHING(theme:""the phone"")"
Rockin2014_Toulouse\round1_Pumas_fb_mic_phase_speech_audio_4.wav,move to the bathroom,"MOTION(goal:""the bathroom"")"
Rockin2014_Toulouse\round1_Ursus_fb_mic_phase_speech_audio_1.wav,search for my tablet,"SEARCHING(theme:""for my tablet"")"
Rockin2014_Toulouse\round1_Ursus_fb_mic_phase_speech_audio_4.wav,move to the bathroom,"MOTION(goal:""the bathroom"")"
Rockin2014_Toulouse\round1_Ursus_fb_mic_phase_speech_audio_7.wav,go near the fridge,"MOTION(goal:""near the fridge"")"
Rockin2014_Toulouse\round1_Watermelon_fb_mic_phase_speech_audio_1.wav,search for my tablet,"SEARCHING(theme:""for my tablet"")"
Rockin2014_Toulouse\round1_Watermelon_fb_mic_phase_speech_audio_3.wav,find the phone,"SEARCHING(theme:""the phone"")"
Rockin2014_Toulouse\round1_Watermelon_fb_mic_phase_speech_audio_4.wav,move to the bathroom,"MOTION(goal:""the bathroom"")"
Rockin2014_Toulouse\round1_Watermelon_fb_mic_phase_speech_audio_5.wav,drop the pillow,"PLACING(theme:""the pillow"")"
Rockin2014_Toulouse\round1_Watermelon_fb_mic_phase_speech_audio_6.wav,go near the fridge,"MOTION(goal:""near the fridge"")"
Rockin2014_Toulouse\round2_Pumas_fb_mic_phase_speech_audio_1.wav,take the newspaper,"TAKING(theme:""the newspaper"")"
Rockin2014_Toulouse\round2_Pumas_fb_mic_phase_speech_audio_2.wav,find my keys,"SEARCHING(theme:""my keys"")"
Rockin2014_Toulouse\round2_Pumas_fb_mic_phase_speech_audio_3.wav,move next to the bed,"MOTION(goal:""next to the bed"")"
Rockin2014_Toulouse\round2_Ursus_fb_mic_phase_speech_audio_1.wav,take the newspaper,"TAKING(theme:""the newspaper"")"
Rockin2014_Toulouse\round2_Ursus_fb_mic_phase_speech_audio_2.wav,find my keys,"SEARCHING(theme:""my keys"")"
Rockin2014_Toulouse\round2_Ursus_fb_mic_phase_speech_audio_3.wav,move next to the bed,"MOTION(goal:""next to the bed"")"
Rockin2014_Toulouse\round2_Watermelon_fb_mic_phase_speech_audio_1.wav,take the newspaper,"TAKING(theme:""the newspaper"")"
Rockin2014_Toulouse\round2_Watermelon_fb_mic_phase_speech_audio_2.wav,find my keys,"SEARCHING(theme:""my keys"")"
Rockin2014_Toulouse\round2_Watermelon_fb_mic_phase_speech_audio_3.wav,move next to the bed,"MOTION(goal:""next to the bed"")"
Rockin2014_Toulouse\round4_bitbots_fb_mic_phase_speech_audio_6.wav,go close to the table,"MOTION(goal:""close to the table"")"
Rockin2014_Toulouse\round4_Ursus_fb_mic_phase_speech_audio_1.wav,go close to the table,"MOTION(goal:""close to the table"")"
Rockin2014_Toulouse\round4_Ursus_fb_mic_phase_speech_audio_7.wav,go close to the table,"MOTION(goal:""close to the table"")"
Rockin2014_Toulouse\round4_Watermelon_fb_mic_phase_speech_audio_1.wav,go close to the table,"MOTION(goal:""close to the table"")"
Rockin2014_Toulouse\round4_Watermelon_fb_mic_phase_speech_audio_7.wav,go close to the table,"MOTION(goal:""close to the table"")"
